county,population,SPC,urban,MidWest,dBenton,southern,Kmart,WalMart,smallstores,dKmart,dWMart,X1,X2,X3,count0,count1,count2,nfirms
84.00,1.94,7.75,0.00,0.00,7.70,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
85.00,2.14,8.66,0.83,0.00,7.77,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
87.00,1.77,8.01,0.00,0.00,7.93,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
88.00,2.34,8.50,0.00,0.00,7.92,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
89.00,1.92,7.83,0.00,0.00,8.13,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
90.00,1.93,8.49,0.42,0.00,7.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
91.00,1.84,7.70,0.00,0.00,8.02,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
95.00,3.88,8.36,0.55,0.00,6.86,1.00,0.00,1.00,7.00,0.00,0.00,1.00,0.00,0.00,0,1,0,1
96.00,3.44,8.32,0.44,0.00,6.82,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,2
97.00,2.24,7.23,0.50,0.00,6.78,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02,0.02,1,0,0,0
98.00,2.69,8.92,0.44,0.00,7.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
104.00,3.62,8.59,0.68,0.00,6.91,1.00,1.00,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0,0,1,2
107.00,3.03,8.71,0.64,0.00,5.37,1.00,0.00,1.00,5.00,0.03,0.03,1.00,0.02,0.17,0,1,0,1
108.00,3.19,8.14,0.49,0.00,5.56,1.00,0.00,1.00,5.00,0.02,0.02,1.00,0.02,0.15,0,1,0,1
109.00,3.59,8.54,0.33,0.00,4.67,1.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,0.22,0,1,0,1
111.00,3.46,8.89,0.38,0.00,4.17,1.00,0.00,1.00,10.00,0.00,0.00,1.00,0.00,0.22,0,1,0,1
112.00,2.44,8.17,0.48,0.00,5.44,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.03,0.19,1,0,0,0
113.00,1.74,7.28,0.00,0.00,5.38,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.06,0.18,1,0,0,0
114.00,3.11,8.49,0.28,0.00,3.69,1.00,0.00,1.00,3.00,0.05,0.05,1.00,0.00,0.18,0,1,0,1
115.00,2.72,8.18,0.62,0.00,5.60,1.00,0.00,0.00,7.00,0.05,0.05,0.00,0.00,0.19,1,0,0,0
116.00,3.10,8.48,0.45,0.00,5.13,1.00,0.00,1.00,4.00,0.03,0.03,1.00,0.00,0.18,0,1,0,1
117.00,2.86,8.24,0.39,0.00,5.36,1.00,0.00,1.00,5.00,0.03,0.03,1.00,0.04,0.27,0,1,0,1
118.00,3.12,8.23,0.24,0.00,4.92,1.00,0.00,1.00,2.00,0.00,0.03,1.00,0.00,0.20,0,1,0,1
119.00,2.12,6.54,0.00,0.00,5.33,1.00,0.00,0.00,1.00,0.03,0.03,0.00,0.00,0.12,1,0,0,0
120.00,3.23,8.27,0.41,0.00,5.41,1.00,1.00,1.00,1.00,0.02,0.02,0.00,0.03,0.17,0,0,1,2
121.00,2.99,8.50,0.28,0.00,4.74,1.00,0.00,1.00,2.00,0.02,0.09,1.00,0.04,0.15,0,1,0,1
123.00,3.90,8.13,0.46,0.00,3.96,1.00,0.00,1.00,11.00,0.07,0.07,1.00,0.00,0.21,0,1,0,1
124.00,3.90,8.74,0.80,0.00,5.46,1.00,0.00,1.00,8.00,0.10,0.10,1.00,0.00,0.18,0,1,0,1
125.00,2.96,8.34,0.42,0.00,5.34,1.00,0.00,1.00,4.00,0.03,0.03,1.00,0.00,0.19,0,1,0,1
126.00,2.21,8.37,0.45,0.00,5.23,1.00,0.00,1.00,2.00,0.02,0.04,1.00,0.00,0.14,0,1,0,1
127.00,2.72,8.78,0.64,0.00,5.49,1.00,0.00,1.00,4.00,0.04,0.04,1.00,0.00,0.18,0,1,0,1
128.00,2.87,8.60,0.46,0.00,5.47,1.00,0.00,1.00,3.00,0.04,0.04,1.00,0.00,0.07,0,1,0,1
130.00,2.81,7.89,0.16,0.00,4.11,1.00,0.00,1.00,4.00,0.06,0.06,1.00,0.02,0.27,0,1,0,1
131.00,2.38,7.13,0.09,0.00,4.91,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.25,1,0,0,0
133.00,2.75,7.75,0.23,0.00,5.17,1.00,0.00,1.00,1.00,0.09,0.12,1.00,0.02,0.12,0,1,0,1
134.00,3.57,8.44,0.52,0.00,5.33,1.00,0.00,1.00,4.00,0.05,0.05,1.00,0.02,0.25,0,1,0,1
135.00,3.09,8.25,0.45,0.00,5.21,1.00,0.00,1.00,3.00,0.02,0.02,1.00,0.02,0.19,0,1,0,1
136.00,3.35,8.05,0.30,0.00,5.06,1.00,0.00,1.00,4.00,0.07,0.10,1.00,0.00,0.11,0,1,0,1
137.00,2.62,8.29,0.33,0.00,5.05,1.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.21,0,1,0,1
138.00,3.49,8.60,0.31,0.00,5.05,1.00,0.00,1.00,5.00,0.00,0.00,1.00,0.00,0.20,0,1,0,1
139.00,2.57,8.13,0.00,0.00,4.88,1.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.29,1,0,0,0
140.00,2.88,8.58,0.38,0.00,5.18,1.00,0.00,1.00,3.00,0.03,0.03,1.00,0.00,0.23,0,1,0,1
142.00,3.05,8.43,0.23,0.00,4.24,1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.04,0.21,0,1,0,1
143.00,2.20,7.33,0.00,0.00,5.38,1.00,0.00,0.00,3.00,0.07,0.07,0.00,0.04,0.25,1,0,0,0
144.00,2.86,8.38,0.37,0.00,5.17,1.00,0.00,1.00,3.00,0.03,0.03,1.00,0.00,0.26,0,1,0,1
145.00,2.54,7.60,0.40,0.00,5.41,1.00,0.00,0.00,5.00,0.02,0.02,0.00,0.00,0.26,1,0,0,0
146.00,2.66,7.20,0.00,0.00,5.39,1.00,0.00,0.00,2.00,0.04,0.04,0.00,0.00,0.13,1,0,0,0
147.00,2.58,8.20,0.27,0.00,5.21,1.00,0.00,1.00,2.00,0.05,0.05,1.00,0.00,0.21,0,1,0,1
148.00,3.05,8.16,0.29,0.00,4.42,1.00,0.00,1.00,4.00,0.03,0.03,1.00,0.02,0.20,0,1,0,1
149.00,3.90,8.13,0.46,0.00,5.15,1.00,1.00,1.00,7.00,0.07,0.12,0.00,0.00,0.10,0,0,1,2
150.00,2.57,7.73,0.00,0.00,3.62,1.00,0.00,1.00,2.00,0.06,0.06,1.00,0.00,0.17,0,1,0,1
151.00,2.67,7.60,0.00,0.00,4.48,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.21,0,1,0,1
152.00,3.68,8.29,0.58,0.00,5.35,1.00,0.00,1.00,6.00,0.05,0.05,1.00,0.03,0.12,0,1,0,1
153.00,3.92,8.41,0.66,0.00,5.47,1.00,0.00,1.00,3.00,0.05,0.05,1.00,0.00,0.29,0,1,0,1
154.00,2.33,8.60,0.37,0.00,5.33,1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.03,0.17,0,1,0,1
155.00,2.14,7.33,0.00,0.00,4.86,1.00,0.00,0.00,3.00,0.03,0.03,0.00,0.00,0.19,1,0,0,0
156.00,2.31,7.74,0.30,0.00,5.26,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.03,0.24,1,0,0,0
157.00,2.10,7.05,0.00,0.00,4.17,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.03,0.23,1,0,0,0
158.00,3.33,8.39,0.43,0.00,5.33,1.00,0.00,1.00,4.00,0.00,0.00,1.00,0.06,0.14,0,1,0,1
159.00,2.24,7.13,0.00,0.00,4.80,1.00,0.00,0.00,1.00,0.06,0.13,0.00,0.03,0.17,1,0,0,0
160.00,3.32,8.35,0.53,0.00,5.45,1.00,0.00,1.00,8.00,0.00,0.00,1.00,0.00,0.19,0,1,0,1
161.00,2.35,8.37,0.00,0.00,5.04,1.00,0.00,0.00,8.00,0.02,0.02,0.00,0.00,0.22,1,0,0,0
162.00,3.20,8.01,0.36,0.00,5.34,1.00,0.00,1.00,5.00,0.06,0.06,1.00,0.00,0.22,0,1,0,1
163.00,2.97,8.26,0.26,0.00,4.86,1.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,0.15,0,1,0,1
164.00,3.94,8.72,0.42,0.00,4.52,1.00,1.00,1.00,9.00,0.00,0.02,0.00,0.00,0.19,0,0,1,2
165.00,2.23,7.81,0.00,0.00,5.22,1.00,0.00,0.00,4.00,0.05,0.07,0.00,0.05,0.20,1,0,0,0
167.00,2.87,8.13,0.32,0.00,5.19,1.00,0.00,1.00,2.00,0.02,0.02,1.00,0.02,0.20,0,1,0,1
168.00,3.35,8.65,0.49,0.00,5.38,1.00,0.00,1.00,4.00,0.04,0.04,1.00,0.00,0.19,0,1,0,1
170.00,2.38,7.79,0.27,0.00,4.63,1.00,0.00,1.00,1.00,0.04,0.04,1.00,0.00,0.14,0,1,0,1
171.00,2.05,7.83,0.00,0.00,4.52,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.03,0.26,1,0,0,0
173.00,2.68,8.22,0.37,0.00,5.09,1.00,0.00,1.00,2.00,0.03,0.03,1.00,0.00,0.20,0,1,0,1
174.00,2.81,8.35,0.17,0.00,5.05,1.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,0.23,0,1,0,1
175.00,2.39,8.23,0.00,0.00,4.80,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.21,0,1,0,1
176.00,3.81,8.64,0.49,0.00,5.47,1.00,1.00,1.00,7.00,0.00,0.00,0.00,0.03,0.17,0,0,1,2
177.00,2.74,7.96,0.00,0.00,4.71,1.00,0.00,1.00,7.00,0.00,0.03,1.00,0.03,0.21,0,1,0,1
179.00,4.14,8.52,0.44,0.00,5.07,1.00,0.00,1.00,10.00,0.02,0.05,1.00,0.03,0.16,0,1,0,1
180.00,2.19,7.77,0.00,0.00,5.23,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.02,0.24,1,0,0,0
181.00,2.95,8.02,0.18,0.00,4.65,1.00,0.00,1.00,4.00,0.03,0.05,1.00,0.03,0.17,0,1,0,1
184.00,3.51,9.09,0.38,0.00,7.28,0.00,1.00,1.00,3.00,0.11,0.07,0.00,0.00,0.02,0,0,1,2
186.00,3.67,7.68,0.18,0.00,7.28,0.00,0.00,0.00,5.00,0.07,0.04,0.00,0.06,0.09,1,0,0,0
187.00,2.91,8.32,0.51,0.00,7.34,0.00,0.00,0.00,0.00,0.10,0.05,0.00,0.03,0.09,1,0,0,0
189.00,3.30,7.94,0.68,0.00,7.40,0.00,1.00,1.00,1.00,0.00,0.02,0.00,0.00,0.00,0,0,1,2
192.00,3.27,7.76,0.57,0.00,7.34,0.00,0.00,1.00,0.00,0.02,0.02,1.00,0.02,0.05,0,1,0,1
195.00,2.91,8.67,0.58,0.00,7.16,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0,1,0,1
198.00,4.00,8.16,0.55,0.00,7.36,0.00,1.00,1.00,2.00,0.07,0.05,0.00,0.00,0.02,0,0,1,2
199.00,3.51,8.00,0.41,0.00,7.28,0.00,0.00,1.00,3.00,0.02,0.02,1.00,0.00,0.00,0,1,0,1
203.00,2.74,7.74,0.00,0.00,7.26,0.00,0.00,0.00,1.00,0.00,0.04,0.00,0.00,0.03,1,0,0,0
206.00,2.26,7.71,0.30,0.00,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
207.00,2.34,8.52,0.45,0.00,7.21,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
213.00,3.02,8.27,0.13,0.00,7.29,0.00,0.00,0.00,1.00,0.04,0.02,0.00,0.00,0.02,1,0,0,0
216.00,3.84,8.22,0.77,0.00,7.30,0.00,1.00,0.00,1.00,0.06,0.06,0.00,0.00,0.00,0,1,0,1
228.00,3.79,8.19,0.35,0.00,7.35,0.00,0.00,1.00,6.00,0.00,0.00,1.00,0.00,0.00,0,1,0,1
233.00,3.99,8.34,0.51,0.00,7.34,0.00,0.00,1.00,4.00,0.04,0.04,1.00,0.00,0.03,0,1,0,1
234.00,2.58,7.52,0.00,0.00,7.37,0.00,0.00,0.00,3.00,0.02,0.00,0.00,0.00,0.00,1,0,0,0
236.00,3.96,8.31,0.53,0.00,7.26,0.00,0.00,1.00,3.00,0.00,0.00,1.00,0.02,0.02,0,1,0,1
239.00,4.10,7.84,0.70,0.00,7.31,0.00,0.00,1.00,3.00,0.15,0.10,1.00,0.00,0.00,0,1,0,1
241.00,2.67,8.88,0.62,1.00,6.47,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0,0,1,2
243.00,2.14,8.29,0.36,1.00,6.57,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02,0.00,1,0,0,0
245.00,1.69,7.20,0.58,1.00,6.21,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.03,0.03,1,0,0,0
247.00,2.71,8.55,0.61,1.00,6.51,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.04,0,1,0,1
249.00,2.18,7.92,0.02,1.00,6.49,0.00,0.00,0.00,0.00,0.10,0.12,0.00,0.00,0.04,1,0,0,0
250.00,2.06,7.49,0.00,1.00,6.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.03,0.03,1,0,0,0
254.00,3.25,8.24,0.24,1.00,6.64,0.00,0.00,0.00,2.00,0.03,0.03,0.00,0.00,0.05,1,0,0,0
258.00,3.46,9.18,0.68,1.00,6.57,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.03,0,1,0,1
259.00,2.86,7.13,0.00,1.00,6.36,0.00,0.00,0.00,0.00,0.09,0.11,0.00,0.00,0.00,1,0,0,0
261.00,3.76,7.99,0.73,1.00,6.45,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.02,0,1,0,1
262.00,3.63,9.12,0.70,1.00,6.65,0.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0,0,1,2
264.00,2.28,8.71,0.00,1.00,6.54,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.05,1,0,0,0
265.00,2.51,8.84,0.45,1.00,6.58,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.02,0,1,0,1
267.00,1.91,8.02,0.52,1.00,6.39,0.00,0.00,0.00,1.00,0.02,0.02,0.00,0.02,0.02,1,0,0,0
271.00,1.97,9.07,0.46,1.00,6.21,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.02,1,0,0,0
272.00,1.84,7.84,0.78,1.00,6.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1,0,0,0
273.00,3.69,8.83,0.35,1.00,6.63,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.02,0.02,0,1,0,1
275.00,2.67,8.20,0.61,1.00,6.30,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.02,0,1,0,1
276.00,1.73,8.77,0.00,1.00,6.29,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0
277.00,2.90,8.83,0.59,1.00,6.34,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.02,0.00,0,1,0,1
280.00,2.51,8.69,0.73,1.00,6.70,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,1,0,1
281.00,3.10,8.76,0.34,1.00,6.68,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.02,0.00,0,0,1,2
282.00,3.41,8.74,0.47,1.00,6.66,0.00,0.00,1.00,2.00,0.02,0.02,1.00,0.00,0.00,0,1,0,1
283.00,3.22,8.27,0.69,1.00,6.37,0.00,1.00,0.00,2.00,0.05,0.05,0.00,0.00,0.02,0,1,0,1
284.00,3.04,8.35,0.63,1.00,6.28,0.00,0.00,1.00,2.00,0.02,0.02,1.00,0.00,0.02,0,1,0,1
286.00,2.54,7.24,0.00,1.00,6.48,0.00,0.00,0.00,2.00,0.02,0.05,0.00,0.00,0.07,1,0,0,0
288.00,2.61,9.49,0.47,1.00,6.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,1,0,0,0
289.00,2.61,8.55,0.61,1.00,6.14,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,1
291.00,1.84,7.66,0.00,1.00,6.68,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.06,0.03,1,0,0,0
