P_PEIXE	P_CARNE	P_PORCO	P_FRANGO	Q_PEIXE	Q_CARNE	Q_PORCO	Q_FRANGO	V_PEIXE	V_CARNE	V_PORCO	V_FRANGO
5.639639	3.484268	3.321622	1.689327	.0853846	2.434404	.0711538	2.0255	.4815385	8.482115	.2363462	3.421731
7.791837	4.257612	2.882221	2.123652	.0942308	2.055865	.3505577	2.044192	.7342308	8.753077	1.010385	4.341154
	1.54		1.36	0	.0288462	0	.0384615	0	.0444231	0	.0523077
5.79	3.176832	3.034343	2.33667	.0384615	2.000481	.1903846	1.162404	.2226923	6.355192	.5776923	2.716154
11.61923	3.392921	1.213333	2.426634	.05	2.538827	.0288462	1.571423	.5809615	8.614038	.035	3.813269
3.486829	4.291927	3.897124	2.115571	.0985577	1.764404	.2841346	1.641673	.3436538	7.572692	1.107308	3.473077
4.271827	3.754223	2.320285	2.917269	.1068269	1.907135	.2431731	1.129942	.4563461	7.159808	.5642308	3.296346
6.86	3.27576	2.940373	2.3382	.1153846	2.372673	.21125	1.305327	.7915385	7.772308	.6211538	3.052115
10.02	3.244711	2.506823	2.505291	.1538462	2.173596	.5989808	1.526615	1.541538	7.052692	1.501538	3.824615
6.115556	2.981614	2.254839	1.934873	.0216346	.4288462	.1788462	.5893846	.1323077	1.278654	.4032692	1.140385
2.79	2.848498	3.195652	2.153209	.0192308	.4417308	.2211538	.6501923	.0536538	1.258269	.7067308	1.4
6.2	4.094285	4.896142	2.209031	.0096154	.1346154	.0648077	.2721346	.0596154	.5511538	.3173077	.6011538
		2.5		0	0	.0769231	0	0	0	.1923077	0
	2.36		1.655502	0	.0576923	0	.1205769	0	.1361538	0	.1996154
	1.976471		5	0	.0326923	0	.0134615	0	.0646154	0	.0673077
	3.453287		3.7875	0	.0277885	0	.0153846	0	.0959615	0	.0582692
6.930131	2.978661	3.128985	2.184176	.1321154	2.828904	.1326923	1.957788	.9155769	8.426346	.4151923	4.276154
8.744929	2.832513	2.277222	2.196736	.1564423	2.813077	.3461538	2.13875	1.368077	7.968077	.7882692	4.698269
4.010217	3.014985	7.670455	2.292329	.0752885	2.566731	.0507692	2.153923	.3019231	7.738654	.3894231	4.9375
2.661369	3.303819	3.308772	2.470188	.1573077	2.502058	.0548077	2.109385	.4186538	8.266346	.1813462	5.210577
4.592308	3.197885	4.803353	2.566956	.1	3.021769	.1193077	2.270423	.4592308	9.663269	.5730769	5.828077
2.227059	2.845412	3.315318	2.551743	.3269231	2.978885	.1245385	2.240173	.7280769	8.476154	.4128846	5.716346
3.516	3.400234	3.583673	2.353349	.1442308	2.831423	.1884615	2.327615	.5071154	9.6275	.6753846	5.477692
	2.687254	2.442544	2.29944	0	2.830385	.1799038	1.928731	.2671154	7.605962	.4394231	4.435
8.658065	3.39269	3.215	2.540311	.1192308	2.501192	.0769231	1.515865	1.032308	8.485769	.2473077	3.850769
	2.342857	3.225		0	.0403846	.0230769	0	0	.0946154	.0744231	.0242308
7.057895	3.017445	2.800571	2.942664	.0730769	2.659981	.3365385	1.361404	.5157692	8.026346	.9425	4.006154
4.110938	2.892866	2.2625	2.624239	.1230769	3.478385	.3538462	1.871385	.5059615	10.0625	.8005769	4.910962
4.030452	2.637816	2.835844	3.052443	.1957692	2.990673	.3792115	1.434538	.7890385	7.888846	1.075385	4.378846
2.65	2.799462	3.279487	2.651749	.0769231	2.844365	.15	1.375942	.2038462	7.962692	.4919231	3.648654
4.525	2.844815	2.79	1.849342	.0230769	.2629615	.0192308	.2923077	.1044231	.7480769	.0536538	.5405769
	4.363256	3.76	4.312241	0	.40425	.0192308	.2413077	0	1.763846	.0723077	1.040577
	2.83379			0	.4211538	0	0	0	1.193462	0	.0261538
	2.234483		.98	0	.0557692	0	.0384615	0	.1246154	0	.0376923
3	3.03375		1.952688	.0192308	.1538462	0	.0894231	.0576923	.4667308	0	.1746154
	2.061538		2.126667	0	.0125	0	.0288462	0	.0257692	0	.0613462
